featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
92,2.91623741675233e-07,9.57564820655632e-06,2.40808917350663e-07,3.18334142793712e-07,1.20521220463577e-06,4.80960913045916e-05,2.35805769799878e-07,1.27941401816187e-05,-2.579712442,0.33338113,0.477058986,Not Significant,,,
95,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.5932991606316e-06,2.35805769799878e-07,2.52283733547058e-06,-1.942020535,0.217216422,0.663107345,Not Significant,,,
141,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,3.70306345994739e-06,2.35805769799878e-07,6.94959016740396e-06,-3.209361784,0.218046644,0.661450594,Not Significant,,,
73,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,3.56197429007859e-06,2.35805769799878e-07,4.30814457325859e-06,-2.796537976,0.191718174,0.717336716,Not Significant,,,
140,8.93253369447778e-05,0.000572303,4.34515927321375e-05,7.63547897690714e-05,0.000196506,0.001130664,0.000134589,0.002884964,-2.4757309,0.259854541,0.585269689,Not Significant,,,
87,2.91623741675233e-07,4.64833405815213e-05,2.40808917350663e-07,3.18334142793712e-07,1.26196382635682e-05,0.00021123,9.14937453146933e-07,3.97860607565543e-05,-2.482591867,0.352915489,0.45232928,Not Significant,,,
17,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,1.4441856678908e-06,2.93191015147408e-07,1.04114095039537e-06,2.5817099556843e-06,4.17406890969603e-06,-1.792888093,0.194632575,0.710784472,Not Significant,,,
224,2.91623741675233e-07,1.69820668365073e-05,2.40808917350663e-07,3.18334142793712e-07,1.00464344598719e-05,6.57489297804529e-05,2.35805769799878e-07,1.08962581144203e-05,-2.285275495,0.334797405,0.475217917,Not Significant,,,
43,2.91623741675233e-07,2.48772176061663e-05,2.40808917350663e-07,3.18334142793712e-07,1.02900736216084e-05,0.000107507,1.57088984301699e-06,6.57120442075583e-05,-2.846738721,0.207948938,0.682043292,Not Significant,,,
178,1.0674351141444e-05,3.04904465913619e-05,1.44699659785045e-05,2.0474714526575e-06,1.81499885067748e-05,9.58407555581952e-05,8.17068543710325e-06,0.00015686,-2.274176954,0.2123497,0.672948348,Not Significant,,,
179,2.37505934414667e-06,3.83717195519465e-05,2.40808917350663e-07,1.11920653722068e-06,1.86899949196561e-05,0.000173137,3.80331891444739e-06,5.04538357456139e-05,-2.547026786,0.279231056,0.554036281,Not Significant,,,
91,2.91623741675233e-07,3.22823191401457e-06,2.40808917350663e-07,3.18334142793712e-07,1.86053025799692e-06,2.39576774559602e-05,2.35805769799878e-07,7.29673123555927e-06,-3.031432019,0.270414775,0.567969584,Not Significant,,,
151,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.36342223936744e-06,2.35805769799878e-07,9.92469253454767e-07,-1.254815992,0.224489534,0.648803902,Not Significant,,,
148,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
160,2.91623741675233e-07,1.27403031047807e-05,2.40808917350663e-07,3.18334142793712e-07,2.99265688655417e-06,4.46213590512511e-05,2.35805769799878e-07,4.81144783605782e-06,-1.954083271,0.430218882,0.366310533,Not Significant,,,
